,Sr No.,Reference No (URN),Journal Date,"Date of
Purchase",Date of Expiry,Name of the Purchaser,Prefix,"Bond
Number",Denominations,Issue Branch Code,Issue Teller,Status
9,8732,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11151,10000000,300,7905165,Paid
10,8733,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11185,10000000,300,7905165,Paid
11,8734,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11157,10000000,300,7905165,Paid
12,8735,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11155,10000000,300,7905165,Paid
13,8736,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11159,10000000,300,7905165,Paid
14,8737,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11197,10000000,300,7905165,Paid
15,8738,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11153,10000000,300,7905165,Paid
16,8739,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11189,10000000,300,7905165,Paid
17,8740,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11167,10000000,300,7905165,Paid
18,8741,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11171,10000000,300,7905165,Paid
19,8742,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11191,10000000,300,7905165,Paid
20,8743,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11181,10000000,300,7905165,Paid
21,8744,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11175,10000000,300,7905165,Paid
22,8745,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11183,10000000,300,7905165,Paid
23,8746,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11165,10000000,300,7905165,Paid
24,8747,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11169,10000000,300,7905165,Paid
25,8748,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11179,10000000,300,7905165,Paid
26,8749,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11193,10000000,300,7905165,Paid
27,8750,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11177,10000000,300,7905165,Paid
28,8751,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,PIRAMAL ENTERPRISES LIMITED,OC,11195,10000000,300,7905165,Paid
29,8752,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,RAJESH MANNALAL AGRAWAL,OC,11141,10000000,300,7905165,Paid
30,8753,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,RAJESH MANNALAL AGRAWAL,OC,11145,10000000,300,7905165,Paid
31,8754,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,RAJESH MANNALAL AGRAWAL,OC,11149,10000000,300,7905165,Paid
32,8755,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,RAJESH MANNALAL AGRAWAL,OC,11143,10000000,300,7905165,Paid
33,8756,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,RAJESH MANNALAL AGRAWAL,OC,11147,10000000,300,7905165,Paid
34,8757,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,SUMAN ESTATES PRIVATE LIMITED,TL,14490,1000000,1,6405134,Paid
35,8758,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,SUMAN ESTATES PRIVATE LIMITED,TL,14484,1000000,1,6405134,Paid
36,8759,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,SUMAN ESTATES PRIVATE LIMITED,TL,14486,1000000,1,6405134,Paid
37,8760,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,SUMAN ESTATES PRIVATE LIMITED,TL,14482,1000000,1,6405134,Paid
38,8761,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,SUMAN ESTATES PRIVATE LIMITED,TL,14488,1000000,1,6405134,Paid
39,8762,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14719,1000000,1,6405134,Paid
40,8763,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14745,1000000,1,6405134,Paid
41,8764,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14751,1000000,1,6405134,Paid
42,8765,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14759,1000000,1,6405134,Paid
43,8766,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14487,1000000,1,6405134,Paid
44,8767,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14735,1000000,1,6405134,Paid
45,8768,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14737,1000000,1,6405134,Paid
46,8769,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14717,1000000,1,6405134,Paid
47,8770,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14741,1000000,1,6405134,Paid
48,8771,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14749,1000000,1,6405134,Paid
0,8772,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14753,1000000,1,6405134,Paid
1,8773,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14707,1000000,1,6405134,Paid
2,8774,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14755,1000000,1,6405134,Paid
3,8775,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14729,1000000,1,6405134,Paid
4,8776,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14703,1000000,1,6405134,Paid
5,8777,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14489,1000000,1,6405134,Paid
6,8778,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14499,1000000,1,6405134,Paid
7,8779,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14725,1000000,1,6405134,Paid
8,8780,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14705,1000000,1,6405134,Paid
9,8781,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14483,1000000,1,6405134,Paid
10,8782,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14713,1000000,1,6405134,Paid
11,8783,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14711,1000000,1,6405134,Paid
12,8784,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14723,1000000,1,6405134,Paid
13,8785,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14747,1000000,1,6405134,Paid
14,8786,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14493,1000000,1,6405134,Paid
15,8787,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14497,1000000,1,6405134,Paid
16,8788,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14757,1000000,1,6405134,Paid
17,8789,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14721,1000000,1,6405134,Paid
18,8790,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14731,1000000,1,6405134,Paid
19,8791,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14491,1000000,1,6405134,Paid
20,8792,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14701,1000000,1,6405134,Paid
21,8793,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14715,1000000,1,6405134,Paid
22,8794,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14485,1000000,1,6405134,Paid
23,8795,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14733,1000000,1,6405134,Paid
24,8796,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14495,1000000,1,6405134,Paid
25,8797,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14743,1000000,1,6405134,Paid
26,8798,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14739,1000000,1,6405134,Paid
27,8799,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14727,1000000,1,6405134,Paid
28,8800,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14761,1000000,1,6405134,Paid
29,8801,1.2022040700000023e+18,07/Apr/2022,07/Apr/2022,21/Apr/2022,TRANSWAYS EXIM PRIVATE LIMITED,TL,14709,1000000,1,6405134,Paid
30,8802,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,WELSPUN CORP LIMITED,OC,11268,10000000,300,7905165,Paid
31,8803,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,WELSPUN CORP LIMITED,OC,11266,10000000,300,7905165,Paid
32,8804,3.0020220407e+20,07/Apr/2022,07/Apr/2022,21/Apr/2022,WELSPUN CORP LIMITED,OC,11264,10000000,300,7905165,Paid
33,8805,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,14 REELS PLUS LLP,OC,11985,10000000,847,3898296,Paid
34,8806,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AASHMAN ENERGY PVT LTD,OC,12015,10000000,847,3898296,Paid
35,8807,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AASHMAN ENERGY PVT LTD,OC,12017,10000000,847,3898296,Paid
36,8808,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,ACHINTYA SOLAR POWER PVT LTD,OC,11989,10000000,847,3898296,Paid
37,8809,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,ANANTPURA WIND ENERGIES PVT LTD,OC,11995,10000000,847,3898296,Paid
38,8810,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AUROBINDO PHARMA LIMITED,OC,9956,10000000,847,3898296,Paid
39,8811,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AUROBINDO PHARMA LIMITED,OC,9950,10000000,847,3898296,Paid
40,8812,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AUROBINDO PHARMA LIMITED,OC,9962,10000000,847,3898296,Paid
41,8813,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AUROBINDO PHARMA LIMITED,OC,9954,10000000,847,3898296,Paid
42,8814,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AUROBINDO PHARMA LIMITED,OC,9952,10000000,847,3898296,Paid
43,8815,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AUROBINDO PHARMA LIMITED,OC,9958,10000000,847,3898296,Paid
44,8816,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AUROBINDO PHARMA LIMITED,OC,9944,10000000,847,3898296,Paid
45,8817,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AUROBINDO PHARMA LIMITED,OC,9946,10000000,847,3898296,Paid
46,8818,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AUROBINDO PHARMA LIMITED,OC,9940,10000000,847,3898296,Paid
47,8819,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AUROBINDO PHARMA LIMITED,OC,9948,10000000,847,3898296,Paid
48,8820,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AUROBINDO PHARMA LIMITED,OC,9942,10000000,847,3898296,Paid
0,8821,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AUROBINDO PHARMA LIMITED,OC,9934,10000000,847,3898296,Paid
1,8822,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AUROBINDO PHARMA LIMITED,OC,9936,10000000,847,3898296,Paid
2,8823,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AUROBINDO PHARMA LIMITED,OC,9960,10000000,847,3898296,Paid
3,8824,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AUROBINDO PHARMA LIMITED,OC,9938,10000000,847,3898296,Paid
4,8825,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AXIS CLINICALS LIMITED,OC,11963,10000000,847,3898296,Paid
5,8826,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AXIS CLINICALS LIMITED,OC,11967,10000000,847,3898296,Paid
6,8827,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AXIS CLINICALS LIMITED,OC,11969,10000000,847,3898296,Paid
7,8828,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AXIS CLINICALS LIMITED,OC,11965,10000000,847,3898296,Paid
8,8829,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,AXIS CLINICALS LIMITED,OC,11971,10000000,847,3898296,Paid
9,8830,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,BRICKS INFRATECH LLP,OC,9966,10000000,847,3898296,Paid
10,8831,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,BRICKS INFRATECH LLP,OC,9970,10000000,847,3898296,Paid
11,8832,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,BRICKS INFRATECH LLP,OC,9968,10000000,847,3898296,Paid
12,8833,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,BRICKS INFRATECH LLP,OC,9972,10000000,847,3898296,Paid
13,8834,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,BRICKS INFRATECH LLP,OC,9964,10000000,847,3898296,Paid
14,8835,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11990,10000000,847,3898296,Paid
15,8836,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11996,10000000,847,3898296,Paid
16,8837,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12046,10000000,847,3898296,Paid
17,8838,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12000,10000000,847,3898296,Paid
18,8839,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12044,10000000,847,3898296,Paid
19,8840,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12002,10000000,847,3898296,Paid
20,8841,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11962,10000000,847,3898296,Paid
21,8842,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11988,10000000,847,3898296,Paid
22,8843,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11998,10000000,847,3898296,Paid
23,8844,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12028,10000000,847,3898296,Paid
24,8845,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12048,10000000,847,3898296,Paid
25,8846,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11960,10000000,847,3898296,Paid
26,8847,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12018,10000000,847,3898296,Paid
27,8848,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11982,10000000,847,3898296,Paid
28,8849,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12020,10000000,847,3898296,Paid
29,8850,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12034,10000000,847,3898296,Paid
30,8851,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11992,10000000,847,3898296,Paid
31,8852,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11986,10000000,847,3898296,Paid
32,8853,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12038,10000000,847,3898296,Paid
33,8854,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11978,10000000,847,3898296,Paid
34,8855,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12008,10000000,847,3898296,Paid
35,8856,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12042,10000000,847,3898296,Paid
36,8857,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11968,10000000,847,3898296,Paid
37,8858,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11994,10000000,847,3898296,Paid
38,8859,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12016,10000000,847,3898296,Paid
39,8860,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12006,10000000,847,3898296,Paid
40,8861,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11984,10000000,847,3898296,Paid
41,8862,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12004,10000000,847,3898296,Paid
42,8863,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11966,10000000,847,3898296,Paid
43,8864,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11980,10000000,847,3898296,Paid
44,8865,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12012,10000000,847,3898296,Paid
45,8866,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11972,10000000,847,3898296,Paid
46,8867,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12014,10000000,847,3898296,Paid
47,8868,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11954,10000000,847,3898296,Paid
48,8869,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11956,10000000,847,3898296,Paid
0,8870,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12032,10000000,847,3898296,Paid
1,8871,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11974,10000000,847,3898296,Paid
2,8872,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12010,10000000,847,3898296,Paid
3,8873,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12024,10000000,847,3898296,Paid
4,8874,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12036,10000000,847,3898296,Paid
5,8875,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11976,10000000,847,3898296,Paid
6,8876,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12030,10000000,847,3898296,Paid
7,8877,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12050,10000000,847,3898296,Paid
8,8878,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11964,10000000,847,3898296,Paid
9,8879,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12040,10000000,847,3898296,Paid
10,8880,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11970,10000000,847,3898296,Paid
11,8881,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12022,10000000,847,3898296,Paid
12,8882,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11958,10000000,847,3898296,Paid
13,8883,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,12026,10000000,847,3898296,Paid
14,8884,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHENNAI GREEN WOODS PRIVATE LIMITED,OC,11952,10000000,847,3898296,Paid
15,8885,5.0920220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHOWGULE AND COMPANY PVT LTD,TL,3488,1000000,509,7315678,Paid
16,8886,5.0920220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHOWGULE AND COMPANY PVT LTD,TL,3477,1000000,509,7315678,Paid
17,8887,5.0920220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHOWGULE AND COMPANY PVT LTD,TL,3481,1000000,509,7315678,Paid
18,8888,5.0920220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHOWGULE AND COMPANY PVT LTD,TL,3486,1000000,509,7315678,Paid
19,8889,5.0920220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,CHOWGULE AND COMPANY PVT LTD,TL,3484,1000000,509,7315678,Paid
20,8890,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,DIVYESH POWER PVT LTD,OC,12041,10000000,847,3898296,Paid
21,8891,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,DIVYESH POWER PVT LTD,OC,12039,10000000,847,3898296,Paid
22,8892,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,ELENA RENEWABLE ENERGY PVT LTD,OC,12043,10000000,847,3898296,Paid
23,8893,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,ELENA RENEWABLE ENERGY PVT LTD,OC,12045,10000000,847,3898296,Paid
24,8894,8.4720220408e+20,08/Apr/2022,08/Apr/2022,22/Apr/2022,ELITE DEVELOPERS,OC,11981,10000000,847,3898296,Paid
